Name,Nickname,Victories,Defeats,Draws,Height_cm,Weight_kg,Reach_cm,stance_x,Date of Birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name,name_y,wins_y,losses_y,height,weight,reach,stance_y,Age,Sig_Strikes_Minute,Sig_Strikes Accuracy,Sig_Strikes_Absorved_Min,Sig_Strikes_Defence,Av_TD_Landed_per_15_Min,Takedown_Accuracy,Takedown_Defence,Av_Subm_Attemt_per_15_Min
Steve Erceg,Astroboy,11,1,0,172.72,56.7,172.72,Orthodox,1995-07-27,4.27,48.0,3.57,49.0,2.0,33.0,77.0,1.0,steve erceg,Steve Erceg,12.0,1.0,172.72,56.7,172.72,Orthodox,28.0,4.57,0.48,3.64,0.55,1.69,0.3,0.77,0.8
Josh Stansbury,The Sandman,4,8,0,187.96,92.99,187.96,Orthodox,1984-11-19,3.22,54.0,3.54,54.0,0.0,0.0,87.0,1.0,josh stansbury,Josh Stansbury,4.0,8.0,187.96,92.99,187.96,Orthodox,39.0,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0
Ed Herman,Short Fuse,27,16,0,185.42,92.99,195.58,Orthodox,1980-10-02,3.31,48.0,3.71,42.0,1.96,47.0,59.0,1.0,ed herman,Ed Herman,27.0,16.0,185.42,92.99,195.58,Orthodox,43.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0
Ali AlQaisi,The Royal Fighter,8,5,0,167.64,61.23,172.72,Orthodox,1990-09-23,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,ali alqaisi,Ali AlQaisi,8.0,5.0,167.64,61.23,172.72,Orthodox,33.0,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0
Ray Borg,The Tazmexican Devil,13,5,0,162.56,61.23,160.02,Orthodox,1993-08-04,1.52,52.0,1.93,48.0,3.89,50.0,46.0,1.0,ray borg,Ray Borg,13.0,5.0,162.56,61.23,160.02,Orthodox,30.0,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0
Carlos Condit,The Natural Born Killer,32,14,0,187.96,77.11,190.5,Orthodox,1984-04-26,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0,carlos condit,Carlos Condit,32.0,14.0,187.96,77.11,190.5,Orthodox,39.0,3.66,0.39,2.67,0.55,0.59,0.46,0.38,1.0
Gunnar Nelson,Gunni,19,5,1,180.34,77.11,182.88,Switch,1988-07-28,1.84,61.0,3.0,49.0,1.9,59.0,66.0,1.0,gunnar nelson,Gunnar Nelson,19.0,5.0,180.34,77.11,182.88,Switch,35.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0
Mohammad Yahya,The UAE Warrior,12,4,0,175.26,70.31,185.42,Switch,1994-05-23,2.87,46.0,4.07,37.0,1.0,100.0,42.0,1.0,mohammad yahya,Mohammad Yahya,12.0,4.0,175.26,65.77,185.42,Switch,29.0,2.87,0.46,4.07,0.37,1.0,1.0,0.42,1.0
Allan Zuniga,Tigre,13,1,0,170.18,70.31,177.8,Orthodox,1992-04-04,3.93,52.0,1.8,61.0,0.0,0.0,57.0,1.0,allan zuniga,Allan Zuniga,13.0,1.0,170.18,70.31,177.8,Orthodox,31.0,3.93,0.52,1.8,0.61,0.0,0.0,0.57,1.0
Karo Parisyan,The Heat,24,11,0,177.8,77.11,182.88,Orthodox,1982-08-28,2.49,41.0,2.19,58.0,5.27,59.0,59.0,1.0,karo parisyan,Karo Parisyan,24.0,11.0,177.8,77.11,182.88,Orthodox,41.0,2.49,0.41,2.19,0.58,5.27,0.59,0.59,1.0
Carlos Mota,Tizil,8,2,0,162.56,56.7,175.26,Orthodox,1995-04-15,0.8,41.0,1.13,54.0,0.0,0.0,50.0,1.0,carlos mota,Carlos Mota,8.0,2.0,162.56,56.7,175.26,Orthodox,28.0,0.8,0.41,1.13,0.54,0.0,0.0,0.5,1.0
Charles Rosa,Boston Strong,14,8,0,175.26,65.77,175.26,Switch,1986-08-24,3.08,36.0,3.86,47.0,1.67,35.0,38.0,1.0,charles rosa,Charles Rosa,14.0,8.0,175.26,65.77,175.26,Switch,37.0,3.08,0.36,3.86,0.47,1.67,0.35,0.38,1.0
Erik Koch,Phoenix,16,6,0,177.8,77.11,180.34,Southpaw,1988-10-04,2.33,42.0,2.82,47.0,1.02,42.0,81.0,1.0,erik koch,Erik Koch,16.0,6.0,177.8,77.11,180.34,Southpaw,35.0,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0
Gilbert Urbina,The RGV Bad Boy,7,3,0,190.5,77.11,190.5,Orthodox,1996-04-05,6.33,60.0,4.09,47.0,3.96,50.0,0.0,1.0,gilbert urbina,Gilbert Urbina,7.0,4.0,190.5,77.11,190.5,Orthodox,27.0,5.61,0.57,4.61,0.44,3.01,0.44,0.0,0.8
Jason Gonzalez,Nicoya,11,5,0,187.96,70.31,187.96,Southpaw,1990-02-28,3.06,39.0,3.13,58.0,0.0,0.0,30.0,1.0,jason gonzalez,Jason Gonzalez,11.0,5.0,187.96,70.31,187.96,Southpaw,34.0,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0
Jay Hieron,The Thoroughbred,23,7,0,182.88,77.11,190.5,Orthodox,1976-07-29,1.66,32.0,1.89,61.0,4.05,60.0,66.0,1.0,jay hieron,Jay Hieron,23.0,7.0,182.88,77.11,190.5,Orthodox,47.0,1.66,0.32,1.89,0.61,4.05,0.6,0.66,1.0
Sung Bin Jo,Korean Falcon,9,1,0,182.88,65.77,182.88,Orthodox,1992-07-17,1.4,33.0,2.67,51.0,1.0,33.0,83.0,1.0,sung bin jo,Sung Bin Jo,9.0,1.0,182.88,65.77,182.88,Orthodox,31.0,1.4,0.33,2.67,0.51,1.0,0.33,0.83,1.0
Isabela de Padua,Belinha,5,2,0,160.02,56.7,162.56,Orthodox,1991-09-04,1.0,35.0,2.07,50.0,2.0,66.0,0.0,1.0,isabela de padua,Isabela de Padua,5.0,2.0,160.02,56.7,162.56,Orthodox,32.0,1.0,0.35,2.07,0.5,2.0,0.66,0.0,1.0
Hyder Amil,The Hurricane,8,0,0,175.26,65.77,177.8,Switch,1990-05-28,1.73,52.0,1.47,53.0,0.0,0.0,78.0,1.0,hyder amil,Hyder Amil,9.0,0.0,175.26,65.77,177.8,Switch,33.0,4.73,0.54,2.16,0.61,0.68,0.33,0.78,2.0
Virna Jandiroba,Carcara,19,3,0,160.02,52.16,162.56,Orthodox,1988-05-30,2.34,40.0,3.03,56.0,2.42,39.0,73.0,1.0,virna jandiroba,Virna Jandiroba,19.0,3.0,160.02,52.16,162.56,Orthodox,35.0,2.34,0.4,3.03,0.56,2.42,0.39,0.73,1.0
Markus Perez,Maluko,12,5,0,185.42,83.91,185.42,Orthodox,1988-06-22,2.6,47.0,3.72,52.0,0.81,25.0,77.0,1.0,markus perez,Markus Perez,12.0,5.0,185.42,83.91,185.42,Orthodox,35.0,2.6,0.47,3.72,0.52,0.81,0.25,0.77,1.0
Brett Johns,The Pikey,17,2,0,170.18,61.23,180.34,Orthodox,1992-02-21,2.86,49.0,3.84,53.0,4.92,49.0,58.0,1.0,brett johns,Brett Johns,17.0,2.0,170.18,61.23,180.34,Orthodox,32.0,2.86,0.49,3.84,0.53,4.92,0.49,0.58,1.0
Emil Meek,Valhalla,9,5,1,180.34,77.11,187.96,Switch,1988-08-20,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0,emil meek,Emil Meek,9.0,5.0,180.34,77.11,187.96,Switch,35.0,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1.0
Luis Henrique,KLB,10,5,0,187.96,110.22,187.96,Orthodox,1993-08-21,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,luis henrique,Luis Henrique,10.0,5.0,187.96,110.22,187.96,Orthodox,30.0,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0
Ben Nguyen,Ten,16,8,0,165.1,56.7,165.1,Switch,1988-08-03,3.51,40.0,3.01,59.0,0.25,33.0,63.0,1.0,ben nguyen,Ben Nguyen,16.0,8.0,165.1,56.7,165.1,Switch,35.0,3.51,0.4,3.01,0.59,0.25,0.33,0.63,1.0
Michael Chiesa,Maverick,18,7,0,185.42,77.11,190.5,Southpaw,1987-12-07,1.87,40.0,1.7,54.0,3.33,50.0,60.0,1.0,michael chiesa,Michael Chiesa,18.0,7.0,185.42,77.11,190.5,Southpaw,36.0,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1.0
Ivan Menjivar,The Pride of El Salvador,25,12,0,167.64,65.77,162.56,Orthodox,1982-05-30,2.78,37.0,2.76,65.0,0.56,28.0,38.0,1.0,ivan menjivar,Ivan Menjivar,25.0,12.0,167.64,65.77,162.56,Orthodox,41.0,2.78,0.37,2.76,0.65,0.56,0.28,0.38,1.0
Justin Edwards,Fast Eddy,9,5,0,177.8,70.31,177.8,Orthodox,1983-01-26,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0,justin edwards,Justin Edwards,9.0,5.0,177.8,70.31,177.8,Orthodox,41.0,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0
Gilbert Yvel,The Hurricane,39,16,1,187.96,102.06,195.58,Orthodox,1976-06-30,1.05,47.0,1.78,50.0,0.0,0.0,25.0,1.0,gilbert yvel,Gilbert Yvel,39.0,16.0,187.96,102.06,195.58,Orthodox,47.0,1.05,0.47,1.78,0.5,0.0,0.0,0.25,1.0
Richie Vaculik,Vas,10,4,0,167.64,56.7,175.26,Orthodox,1983-06-19,3.69,46.0,4.09,57.0,3.0,45.0,31.0,1.0,richie vaculik,Richie Vaculik,10.0,4.0,167.64,56.7,175.26,Orthodox,40.0,3.69,0.46,4.09,0.57,3.0,0.45,0.31,1.0
Mike Rio,The Wolverine,10,5,0,177.8,70.31,177.8,Orthodox,1981-07-06,1.68,39.0,2.99,53.0,2.58,27.0,0.0,1.0,mike rio,Mike Rio,10.0,5.0,177.8,70.31,177.8,Orthodox,42.0,1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0
Alex Chambers,Astro Girl,5,5,0,160.02,52.16,160.02,Southpaw,1978-10-25,2.97,54.0,5.1,50.0,2.31,41.0,53.0,1.0,alex chambers,Alex Chambers,5.0,5.0,160.02,52.16,160.02,Southpaw,45.0,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0
Magnus Cedenblad,Jycken,14,5,0,195.58,83.91,200.66,Orthodox,1982-04-10,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,magnus cedenblad,Magnus Cedenblad,14.0,5.0,195.58,83.91,200.66,Orthodox,41.0,2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0
Jon Tuck,Super Saiyan,10,5,0,180.34,70.31,185.42,Orthodox,1984-08-28,3.0,40.0,3.74,60.0,0.42,33.0,50.0,1.0,jon tuck,Jon Tuck,10.0,5.0,180.34,70.31,185.42,Orthodox,39.0,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0
Stephan Bonnar,The American Psycho,15,9,0,193.04,92.99,200.66,Orthodox,1977-04-04,2.76,38.0,3.01,52.0,1.32,40.0,60.0,1.0,stephan bonnar,Stephan Bonnar,15.0,9.0,193.04,92.99,200.66,Orthodox,46.0,2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0
Eric Spicely,Zebrinha,12,6,0,185.42,83.91,185.42,Orthodox,1986-09-29,3.71,45.0,5.72,55.0,1.31,20.0,75.0,1.0,eric spicely,Eric Spicely,12.0,6.0,185.42,83.91,185.42,Orthodox,37.0,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0
Paige VanZant,12 Gauge,8,5,0,162.56,52.16,165.1,Orthodox,1994-03-26,3.35,52.0,2.62,42.0,1.27,33.0,34.0,1.0,paige vanzant,Paige VanZant,8.0,5.0,162.56,52.16,165.1,Orthodox,30.0,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0
Alexandre Pantoja,The Cannibal,26,5,0,165.1,56.7,170.18,Orthodox,1990-04-16,4.41,48.0,3.81,51.0,1.75,44.0,66.0,1.0,alexandre pantoja,Alexandre Pantoja,27.0,5.0,165.1,56.7,170.18,Orthodox,33.0,4.32,0.49,3.9,0.5,2.2,0.48,0.67,1.0
Krzysztof Soszynski,The Polish Experiment,26,12,1,185.42,92.99,195.58,Open Stance,1977-08-02,3.37,39.0,3.13,58.0,0.52,25.0,71.0,1.0,krzysztof soszynski,Krzysztof Soszynski,26.0,12.0,185.42,92.99,195.58,Open Stance,46.0,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0
Terrance McKinney,T. Wrecks,15,6,0,177.8,70.31,185.42,Switch,1994-09-15,4.46,52.0,2.51,44.0,3.52,36.0,85.0,1.0,terrance mckinney,Terrance McKinney,15.0,6.0,177.8,70.31,185.42,Switch,29.0,4.46,0.52,2.51,0.44,3.52,0.36,0.85,1.0
Rodney Wallace,Shonuff the Master,26,15,1,175.26,92.99,182.88,Switch,1981-11-21,1.13,46.0,3.44,45.0,6.0,54.0,28.0,1.0,rodney wallace,Rodney Wallace,26.0,15.0,175.26,92.99,182.88,Switch,42.0,1.13,0.46,3.44,0.45,6.0,0.54,0.28,1.0
Alexandr Romanov,King Kong,17,2,0,187.96,118.84,190.5,Southpaw,1990-12-11,4.06,52.0,2.2,50.0,4.32,54.0,20.0,0.9,alexandr romanov,Alexandr Romanov,17.0,2.0,187.96,118.84,190.5,Southpaw,33.0,4.06,0.52,2.2,0.5,4.32,0.54,0.2,0.9
Allan Nascimento,Puro Osso,20,6,0,172.72,56.7,175.26,Orthodox,1991-09-11,3.21,61.0,2.28,50.0,1.55,26.0,16.0,0.9,allan nascimento,Allan Nascimento,20.0,6.0,172.72,56.7,175.26,Orthodox,32.0,3.21,0.61,2.28,0.5,1.55,0.26,0.16,0.9
Eliot Marshall,Fire,10,4,0,187.96,92.99,195.58,Orthodox,1980-07-07,1.93,27.0,2.39,67.0,0.47,33.0,79.0,0.9,eliot marshall,Eliot Marshall,10.0,4.0,187.96,92.99,195.58,Orthodox,43.0,1.93,0.27,2.39,0.67,0.47,0.33,0.79,0.9
AJ Fletcher,The Ghost,10,3,0,177.8,77.11,170.18,Switch,1997-02-18,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,aj fletcher,AJ Fletcher,10.0,3.0,177.8,77.11,170.18,Switch,27.0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9
Lerone Murphy,The Miracle,13,0,1,175.26,65.77,185.42,Orthodox,1991-07-22,3.65,50.0,2.4,56.0,1.29,46.0,46.0,0.9,lerone murphy,Lerone Murphy,13.0,0.0,175.26,65.77,185.42,Orthodox,32.0,3.65,0.5,2.4,0.56,1.29,0.46,0.46,0.9
Aisling Daly,Ais the Bash,16,6,0,157.48,52.16,162.56,Orthodox,1987-12-24,2.92,52.0,1.4,55.0,2.15,41.0,33.0,0.9,aisling daly,Aisling Daly,16.0,6.0,157.48,52.16,162.56,Orthodox,36.0,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9
JeongYeong Lee,Korean Tiger,10,1,0,177.8,65.77,185.42,Orthodox,1995-11-13,2.39,47.0,1.84,55.0,0.0,0.0,73.0,0.9,jeongyeong lee,JeongYeong Lee,11.0,1.0,177.8,65.77,185.42,Orthodox,28.0,2.81,0.53,1.57,0.59,0.96,0.66,0.76,0.5
Ben Askren,Funky,19,2,0,180.34,77.11,185.42,Orthodox,1984-07-18,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9,ben askren,Ben Askren,19.0,2.0,180.34,77.11,185.42,Orthodox,39.0,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
Gillian Robertson,The Savage,12,8,0,165.1,52.16,160.02,Orthodox,1995-05-17,2.6,45.0,3.21,55.0,2.46,41.0,43.0,0.9,gillian robertson,Gillian Robertson,13.0,8.0,165.1,52.16,160.02,Orthodox,28.0,2.61,0.46,3.12,0.56,2.53,0.43,0.43,1.0
Rameau Thierry Sokoudjou,The African Assassin,18,18,0,177.8,92.99,198.12,Orthodox,1984-04-18,2.26,45.0,2.61,56.0,1.93,47.0,78.0,0.9,rameau thierry sokoudjou,Rameau Thierry Sokoudjou,18.0,18.0,177.8,92.99,198.12,Orthodox,39.0,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9
John Hathaway,The Hitman,17,2,0,185.42,77.11,190.5,Orthodox,1987-07-23,3.4,40.0,1.8,62.0,2.61,43.0,60.0,0.9,john hathaway,John Hathaway,17.0,2.0,185.42,77.11,190.5,Orthodox,36.0,3.4,0.4,1.8,0.62,2.61,0.43,0.6,0.9
Matt Serra,The Terra,11,7,0,167.64,77.11,172.72,Orthodox,1974-06-02,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9,matt serra,Matt Serra,11.0,7.0,167.64,77.11,172.72,Orthodox,49.0,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
Michael Chandler,Iron,23,8,0,172.72,70.31,180.34,Orthodox,1986-04-24,4.89,46.0,4.58,46.0,2.17,38.0,71.0,0.9,michael chandler,Michael Chandler,23.0,8.0,172.72,70.31,180.34,Orthodox,37.0,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9
Alan Belcher,The Talent,18,8,0,187.96,83.91,190.5,Orthodox,1984-04-24,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9,alan belcher,Alan Belcher,18.0,8.0,187.96,83.91,190.5,Orthodox,39.0,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9
Damacio Page,The Angel of Death,19,10,0,167.64,61.23,167.64,Orthodox,1982-09-30,2.05,38.0,2.47,51.0,2.63,64.0,23.0,0.9,damacio page,Damacio Page,19.0,10.0,167.64,61.23,167.64,Orthodox,41.0,2.05,0.38,2.47,0.51,2.63,0.64,0.23,0.9
Pete Sell,Drago,10,7,0,180.34,77.11,190.5,Orthodox,1982-08-05,2.6,42.0,3.65,51.0,0.91,21.0,47.0,0.9,pete sell,Pete Sell,10.0,7.0,180.34,77.11,190.5,Orthodox,41.0,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9
Jason Witt,The Vanilla Gorilla,19,9,0,177.8,77.11,177.8,Orthodox,1986-11-07,2.15,44.0,2.54,52.0,6.9,48.0,100.0,0.9,jason witt,Jason Witt,19.0,9.0,177.8,77.11,177.8,Orthodox,37.0,2.15,0.44,2.54,0.52,6.9,0.48,1.0,0.9
Garett Whiteley,Goodnight,7,3,0,182.88,70.31,182.88,Orthodox,1980-12-13,3.72,48.0,4.04,46.0,0.0,0.0,27.0,0.9,garett whiteley,Garett Whiteley,7.0,3.0,182.88,70.31,182.88,Orthodox,43.0,3.72,0.48,4.04,0.46,0.0,0.0,0.27,0.9
Cyril Asker,Silverback,9,4,0,182.88,112.04,187.96,Orthodox,1985-12-24,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9,cyril asker,Cyril Asker,9.0,4.0,182.88,112.04,187.96,Orthodox,38.0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
Roosevelt Roberts,The Predator,12,5,0,187.96,70.31,185.42,Orthodox,1994-02-11,3.05,44.0,3.12,52.0,1.39,29.0,52.0,0.9,roosevelt roberts,Roosevelt Roberts,12.0,5.0,187.96,70.31,185.42,Orthodox,30.0,3.05,0.44,3.12,0.52,1.39,0.29,0.52,0.9
James Krause,The,28,9,0,187.96,77.11,185.42,Orthodox,1986-06-04,4.79,49.0,4.11,61.0,0.96,18.0,59.0,0.9,james krause,James Krause,28.0,9.0,187.96,77.11,185.42,Orthodox,37.0,4.79,0.49,4.11,0.61,0.96,0.18,0.59,0.9
Irina Alekseeva,Russian Ronda,5,2,0,172.72,61.23,170.18,Orthodox,1990-06-27,3.84,43.0,3.55,48.0,0.87,20.0,100.0,0.9,irina alekseeva,Irina Alekseeva,5.0,2.0,172.72,61.23,170.18,Orthodox,33.0,3.84,0.43,3.55,0.48,0.87,0.2,1.0,0.9
Tony Ferguson,El Cucuy,26,9,0,180.34,70.31,193.04,Orthodox,1984-02-12,4.98,45.0,4.26,56.0,0.42,35.0,66.0,0.9,tony ferguson,Tony Ferguson,26.0,10.0,180.34,70.31,193.04,Orthodox,40.0,4.94,0.45,4.41,0.55,0.39,0.35,0.67,0.9
Carmelo Marrero,The Fury,16,6,0,182.88,92.99,185.42,Orthodox,1981-01-26,0.84,34.0,2.04,54.0,3.21,36.0,36.0,0.9,carmelo marrero,Carmelo Marrero,16.0,6.0,182.88,92.99,185.42,Orthodox,43.0,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9
Roger Bowling,Relentless,12,6,0,175.26,70.31,172.72,Orthodox,1982-12-05,3.9,47.0,3.86,51.0,3.09,43.0,27.0,0.9,roger bowling,Roger Bowling,12.0,6.0,175.26,70.31,172.72,Orthodox,41.0,3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9
Ildemar Alcantara,Marajo,21,11,0,187.96,83.91,198.12,Orthodox,1982-11-18,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,ildemar alcantara,Ildemar Alcantara,21.0,11.0,187.96,83.91,198.12,Orthodox,41.0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9
Ricardo Lamas,The Bully,20,8,0,172.72,65.77,180.34,Orthodox,1982-05-21,3.13,47.0,2.87,57.0,1.84,33.0,46.0,0.9,ricardo lamas,Ricardo Lamas,20.0,8.0,172.72,65.77,180.34,Orthodox,41.0,3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9
Marlon Vera,Chito,21,8,1,172.72,61.23,177.8,Switch,1992-12-02,4.37,50.0,5.16,51.0,0.58,39.0,70.0,0.9,marlon vera,Marlon Vera,23.0,9.0,172.72,61.23,177.8,Switch,31.0,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9
Alex Karalexis,The Assassin,10,6,0,172.72,70.31,167.64,Orthodox,1977-09-20,2.57,42.0,2.39,54.0,2.7,45.0,86.0,0.9,alex karalexis,Alex Karalexis,10.0,6.0,172.72,70.31,167.64,Orthodox,46.0,2.57,0.42,2.39,0.54,2.7,0.45,0.86,0.9
Matt Frevola,The SteamRolla,11,4,1,175.26,70.31,180.34,Orthodox,1990-06-11,3.71,42.0,3.57,59.0,2.59,40.0,42.0,0.9,matt frevola,Matt Frevola,11.0,4.0,175.26,70.31,180.34,Orthodox,33.0,3.71,0.42,3.57,0.59,2.59,0.4,0.42,0.9
Blake Bilder,El Animal,8,1,1,172.72,65.77,172.72,Switch,1990-07-12,4.96,50.0,4.54,56.0,0.45,10.0,100.0,0.9,blake bilder,Blake Bilder,8.0,2.0,172.72,65.77,172.72,Switch,33.0,3.81,0.48,4.15,0.53,0.31,0.07,0.71,0.6
Tonya Evinger,Triple Threat,19,8,0,170.18,61.23,177.8,Orthodox,1981-06-04,1.16,42.0,4.02,38.0,0.93,30.0,33.0,0.9,tonya evinger,Tonya Evinger,19.0,8.0,170.18,61.23,177.8,Orthodox,42.0,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9
Mike Wilkinson,The Warrior,9,4,0,170.18,65.77,167.64,Orthodox,1987-09-15,2.35,38.0,3.7,35.0,0.92,14.0,55.0,0.9,mike wilkinson,Mike Wilkinson,9.0,4.0,170.18,65.77,167.64,Orthodox,36.0,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9
Diego Rivas,Pitbull,10,2,0,172.72,65.77,175.26,Orthodox,1991-11-11,1.37,40.0,2.14,52.0,1.79,60.0,64.0,0.9,diego rivas,Diego Rivas,10.0,2.0,172.72,65.77,175.26,Orthodox,32.0,1.37,0.4,2.14,0.52,1.79,0.6,0.64,0.9
Mark Hominick,The Machine,20,12,0,172.72,65.77,172.72,Orthodox,1982-07-22,4.08,42.0,4.18,69.0,0.25,66.0,71.0,0.9,mark hominick,Mark Hominick,20.0,12.0,172.72,65.77,172.72,Orthodox,41.0,4.08,0.42,4.18,0.69,0.25,0.66,0.71,0.9
Rick Story,The Horror,19,9,0,175.26,77.11,180.34,Southpaw,1984-08-28,3.8,41.0,2.17,62.0,2.53,48.0,63.0,0.9,rick story,Rick Story,19.0,9.0,175.26,77.11,180.34,Southpaw,39.0,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9
Garreth McLellan,Soldier Boy,13,6,0,185.42,83.91,182.88,Southpaw,1982-09-01,3.56,54.0,2.94,45.0,1.15,22.0,34.0,0.9,garreth mclellan,Garreth McLellan,13.0,6.0,185.42,83.91,182.88,Southpaw,41.0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9
Mariya Agapova,Demonslayer,10,4,0,167.64,56.7,172.72,Southpaw,1997-04-07,4.67,55.0,3.82,52.0,0.59,66.0,47.0,0.9,mariya agapova,Mariya Agapova,10.0,4.0,167.64,56.7,172.72,Southpaw,26.0,4.67,0.55,3.82,0.52,0.59,0.66,0.47,0.9
Tim Hague,The Trashing Machine,21,13,0,193.04,117.93,193.04,Orthodox,1983-05-09,2.79,47.0,4.14,46.0,1.72,33.0,85.0,0.9,tim hague,Tim Hague,21.0,13.0,193.04,117.93,193.04,Orthodox,40.0,2.79,0.47,4.14,0.46,1.72,0.33,0.85,0.9
Iuri Alcantara,Marajo,35,10,0,175.26,61.23,180.34,Southpaw,1980-08-04,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,iuri alcantara,Iuri Alcantara,35.0,10.0,175.26,61.23,180.34,Southpaw,43.0,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
Da'Mon Blackshear,The Monster,14,6,1,177.8,61.23,182.88,Switch,1994-08-12,4.28,47.0,4.09,48.0,2.34,37.0,66.0,0.8,da'mon blackshear,Da'Mon Blackshear,14.0,6.0,177.8,61.23,182.88,Switch,29.0,4.28,0.47,4.09,0.48,2.34,0.37,0.66,0.8
Spencer Fisher,The King,24,9,0,170.18,70.31,172.72,Southpaw,1976-05-09,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8,spencer fisher,Spencer Fisher,24.0,9.0,170.18,70.31,172.72,Southpaw,47.0,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8
Kurt Pellegrino,Batman,16,7,0,172.72,70.31,177.8,Orthodox,1979-05-07,2.45,43.0,1.94,63.0,2.9,54.0,69.0,0.8,kurt pellegrino,Kurt Pellegrino,16.0,7.0,172.72,70.31,177.8,Orthodox,44.0,2.45,0.43,1.94,0.63,2.9,0.54,0.69,0.8
Trey Ogden,Samurai Ghost,16,6,0,180.34,70.31,182.88,Orthodox,1989-11-14,3.64,47.0,4.02,58.0,1.29,16.0,100.0,0.8,trey ogden,Trey Ogden,17.0,6.0,180.34,70.31,182.88,Orthodox,34.0,3.38,0.47,3.59,0.58,1.64,0.23,1.0,0.6
Anderson Silva,The Spider,34,11,0,187.96,83.91,195.58,Southpaw,1975-04-14,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,anderson silva,Anderson Silva,34.0,11.0,187.96,83.91,195.58,Southpaw,48.0,3.05,0.61,2.05,0.6,0.5,0.77,0.69,0.8
Carlston Harris,Mocambique,19,5,0,182.88,77.11,193.04,Orthodox,1987-07-09,2.93,49.0,2.44,53.0,2.05,29.0,55.0,0.8,carlston harris,Carlston Harris,19.0,5.0,182.88,77.11,193.04,Orthodox,36.0,2.93,0.49,2.44,0.53,2.05,0.29,0.55,0.8
Jorge Santiago,The Sandman,25,12,0,185.42,77.11,190.5,Orthodox,1980-10-09,1.69,35.0,2.62,56.0,0.58,30.0,52.0,0.8,jorge santiago,Jorge Santiago,25.0,12.0,185.42,77.11,190.5,Orthodox,43.0,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8
