name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Blagoy Ivanov,19.0,6.0,180.34,113.4,185.42,Southpaw,37.0,3.25,0.4,4.2,0.53,0.69,0.4,0.61,0.1
David Onama,11.0,2.0,180.34,65.77,187.96,Orthodox,29.0,5.38,0.46,5.48,0.51,0.87,0.18,0.45,0.3
Gabriel Santos,10.0,2.0,175.26,65.77,177.8,Orthodox,27.0,4.46,0.55,6.03,0.44,4.34,0.46,0.66,1.2
Phil Rowe,10.0,4.0,190.5,77.11,203.2,Orthodox,33.0,3.94,0.52,4.32,0.54,0.85,0.4,0.59,0.4
Zhalgas Zhumagulov,14.0,9.0,162.56,56.7,167.64,Switch,35.0,5.24,0.43,5.86,0.52,1.3,0.19,0.75,0.2
Marvin Vettori,19.0,7.0,182.88,83.91,187.96,Southpaw,30.0,4.56,0.45,4.24,0.56,1.66,0.45,0.69,0.5
Jared Cannonier,17.0,6.0,180.34,83.91,195.58,Switch,40.0,4.68,0.52,4.13,0.59,0.44,0.42,0.63,0.0
Tereza Bleda,7.0,1.0,175.26,56.7,180.34,Orthodox,22.0,3.02,0.53,1.86,0.46,1.81,0.27,0.83,0.7
Gabriella Fernandes,8.0,3.0,167.64,56.7,167.64,Southpaw,30.0,1.63,0.47,2.7,0.47,0.0,0.0,0.61,0.0
Amanda Nunes,23.0,5.0,172.72,61.23,175.26,Orthodox,35.0,4.55,0.51,2.62,0.57,2.73,0.54,0.82,0.7
Charles Oliveira,34.0,9.0,177.8,70.31,187.96,Orthodox,34.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7
Adam Fugitt,9.0,4.0,185.42,77.11,195.58,Southpaw,35.0,4.3,0.54,5.13,0.48,3.43,0.33,0.5,0.0
Nate Landwehr,17.0,5.0,175.26,65.77,182.88,Orthodox,35.0,6.14,0.46,5.58,0.55,1.07,0.41,0.86,1.1
David Dvorak,20.0,6.0,165.1,56.7,172.72,Orthodox,31.0,3.48,0.43,3.29,0.59,0.58,0.3,0.7,0.2
Maria Oliveira,13.0,7.0,167.64,52.16,175.26,Orthodox,27.0,5.03,0.38,5.76,0.44,0.95,0.44,0.47,0.0
Kai Kara-France,24.0,11.0,162.56,56.7,175.26,Orthodox,31.0,4.57,0.39,3.24,0.65,0.63,0.33,0.88,0.0
Amir Albazi,17.0,1.0,165.1,56.7,172.72,Orthodox,30.0,2.8,0.39,3.07,0.63,1.71,0.33,0.4,0.7
Daniel Pineda,28.0,15.0,170.18,65.77,175.26,Orthodox,38.0,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7
Jesse Butler,12.0,5.0,177.8,65.77,185.42,Orthodox,31.0,2.61,0.14,7.83,0.4,0.0,0.0,0.0,0.0
Ketlen Souza,13.0,4.0,160.02,52.16,160.02,Orthodox,29.0,0.0,0.0,1.71,0.7,0.0,0.0,0.0,0.0
Abubakar Nurmagomedov,17.0,4.0,180.34,77.11,182.88,Orthodox,34.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0
Elizeu Zaleski dos Santos,24.0,7.0,180.34,77.11,185.42,Orthodox,37.0,4.52,0.42,3.33,0.57,0.43,0.13,0.68,0.4
Daniel Santos,12.0,2.0,170.18,61.23,170.18,Orthodox,29.0,4.26,0.37,5.12,0.5,1.9,0.5,0.73,0.0
Luan Lacerda,12.0,3.0,170.18,61.23,180.34,Orthodox,31.0,4.52,0.44,7.07,0.47,1.26,0.25,0.75,0.6
Maxim Grishin,32.0,10.0,190.5,92.99,198.12,Orthodox,39.0,3.26,0.52,2.27,0.58,0.21,0.16,0.66,0.0
Diego Ferreira,18.0,5.0,175.26,70.31,187.96,Orthodox,39.0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7
Maheshate,9.0,3.0,182.88,70.31,180.34,Orthodox,24.0,2.91,0.26,4.86,0.49,0.0,0.0,0.45,0.0
Viacheslav Borshchev,7.0,3.0,180.34,70.31,175.26,Orthodox,32.0,5.82,0.58,4.07,0.56,0.0,0.0,0.36,0.0
Orion Cosce,8.0,2.0,180.34,77.11,180.34,Switch,29.0,2.77,0.53,4.02,0.44,1.92,0.4,0.61,0.0
Ilir Latifi,17.0,9.0,177.8,104.33,185.42,Orthodox,41.0,2.05,0.45,2.93,0.56,2.11,0.35,1.0,0.3
Nick Fiore,6.0,2.0,177.8,70.31,182.88,Orthodox,26.0,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0
Victoria Leonardo,9.0,6.0,165.1,56.7,162.56,Orthodox,34.0,3.27,0.39,4.7,0.46,1.6,0.27,0.71,0.0
Takashi Sato,16.0,7.0,177.8,77.11,185.42,Southpaw,33.0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0
Daniel Rodriguez,17.0,4.0,185.42,77.11,187.96,Southpaw,37.0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1
Matt Brown,26.0,19.0,182.88,77.11,190.5,Orthodox,43.0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3
Court McGee,22.0,12.0,180.34,77.11,190.5,Orthodox,39.0,4.63,0.37,3.68,0.6,1.89,0.25,0.69,0.4
Chase Sherman,16.0,12.0,193.04,113.4,198.12,Orthodox,34.0,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0
Cody Stamann,21.0,6.0,167.64,61.23,162.56,Orthodox,34.0,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0.0
Douglas Silva de Andrade,29.0,5.0,170.18,61.23,172.72,Orthodox,38.0,3.66,0.38,3.99,0.58,0.61,0.46,0.7,0.2
Ji Yeon Kim,9.0,7.0,170.18,56.7,182.88,Orthodox,34.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1
Mandy Bohm,8.0,2.0,170.18,56.7,180.34,Orthodox,34.0,2.51,0.45,3.24,0.6,0.72,0.18,0.75,0.7
Gabe Green,11.0,5.0,177.8,70.31,185.42,Switch,30.0,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3
Jessica-Rose Clark,11.0,9.0,165.1,61.23,162.56,Orthodox,36.0,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3
Belal Muhammad,23.0,3.0,180.34,77.11,182.88,Orthodox,35.0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2
Yan Xiaonan,17.0,3.0,165.1,52.16,160.02,Orthodox,34.0,5.55,0.44,3.56,0.61,0.86,0.66,0.7,0.0
Kron Gracie,5.0,2.0,175.26,65.77,177.8,Southpaw,35.0,3.74,0.44,6.82,0.53,0.47,0.25,0.0,0.5
Khaos Williams,14.0,3.0,182.88,77.11,195.58,Orthodox,29.0,5.77,0.39,5.33,0.42,0.0,0.0,0.8,0.0
Virna Jandiroba,19.0,3.0,160.02,52.16,162.56,Orthodox,35.0,2.34,0.4,3.03,0.56,2.42,0.39,0.73,1.0
Braxton Smith,5.0,2.0,180.34,116.57,182.88,Orthodox,34.0,6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0
Joseph Holmes,8.0,4.0,193.04,83.91,203.2,Orthodox,28.0,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8
Trey Waters,8.0,1.0,195.58,77.11,195.58,Orthodox,29.0,6.45,0.45,3.95,0.61,0.78,0.5,0.77,0.8
Journey Newson,10.0,5.0,165.1,61.23,170.18,Orthodox,35.0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3
Hailey Cowan,7.0,3.0,172.72,61.23,170.18,Southpaw,32.0,2.97,0.42,3.17,0.34,1.5,0.33,0.8,0.0
Brogan Walker,8.0,4.0,162.56,56.7,170.18,Switch,35.0,2.04,0.3,3.7,0.47,0.0,0.0,0.11,0.0
Rani Yahya,28.0,11.0,167.64,61.23,170.18,Orthodox,39.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9
Montel Jackson,13.0,2.0,177.8,61.23,190.5,Southpaw,31.0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3
Brady Hiestand,8.0,2.0,172.72,61.23,180.34,Orthodox,24.0,2.93,0.52,3.65,0.53,4.06,0.46,0.42,0.3
Batgerel Danaa,12.0,5.0,170.18,61.23,177.8,Orthodox,34.0,5.38,0.36,4.21,0.47,0.52,0.5,0.62,0.0
Azamat Murzakanov,13.0,0.0,177.8,92.99,180.34,Southpaw,34.0,4.57,0.57,3.12,0.57,0.75,0.16,0.83,0.0
Rafa Garcia,16.0,3.0,170.18,70.31,177.8,Orthodox,29.0,4.19,0.42,4.21,0.61,3.61,0.44,0.79,0.3
Matheus Nicolau,19.0,4.0,167.64,56.7,167.64,Orthodox,31.0,3.66,0.53,3.14,0.66,1.48,0.45,0.93,0.9
Zak Cummings,25.0,7.0,182.88,92.99,190.5,Southpaw,39.0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6
Ed Herman,27.0,16.0,185.42,92.99,195.58,Orthodox,43.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0
Piera Rodriguez,9.0,1.0,160.02,52.16,160.02,Orthodox,31.0,3.46,0.46,2.98,0.57,3.31,0.41,0.66,0.0
Lando Vannata,12.0,7.0,175.26,70.31,180.34,Orthodox,32.0,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3
Aaron Phillips,12.0,5.0,175.26,61.23,180.34,Southpaw,34.0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6
Jorge Masvidal,35.0,17.0,180.34,77.11,187.96,Orthodox,39.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3
Santiago Ponzinibbio,30.0,7.0,182.88,77.11,185.42,Orthodox,37.0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0
Cynthia Calvillo,9.0,6.0,162.56,52.16,162.56,Orthodox,36.0,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8
Shayilan Nuerdanbieke,39.0,11.0,172.72,65.77,175.26,Orthodox,29.0,2.28,0.45,2.94,0.5,2.9,0.33,0.4,0.0
Holly Holm,15.0,6.0,172.72,61.23,175.26,Southpaw,42.0,3.21,0.4,2.79,0.56,0.9,0.3,0.78,0.1
Steven Peterson,19.0,11.0,177.8,65.77,177.8,Orthodox,33.0,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7
Gunnar Nelson,19.0,5.0,180.34,77.11,182.88,Switch,35.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0
Jack Shore,17.0,1.0,172.72,65.77,180.34,Orthodox,29.0,3.84,0.58,2.2,0.57,3.42,0.4,0.79,0.7
Makwan Amirkhani,17.0,9.0,177.8,65.77,182.88,Southpaw,35.0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1
Omar Morales,11.0,4.0,180.34,70.31,185.42,Orthodox,38.0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0
Dusko Todorovic,12.0,4.0,185.42,83.91,187.96,Orthodox,29.0,5.54,0.57,4.55,0.46,0.96,0.12,0.45,0.0
Nikita Krylov,30.0,9.0,190.5,92.99,195.58,Orthodox,32.0,4.38,0.55,2.47,0.44,2.29,0.38,0.53,1.4
Guido Cannetti,10.0,8.0,167.64,61.23,172.72,Southpaw,44.0,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4
Raphael Assuncao,28.0,10.0,165.1,61.23,167.64,Orthodox,41.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2
Victor Henry,23.0,6.0,170.18,61.23,172.72,Switch,36.0,8.26,0.54,5.95,0.47,0.0,0.0,0.78,0.6
Tony Gravely,23.0,9.0,165.1,61.23,175.26,Orthodox,32.0,3.82,0.48,4.47,0.44,5.4,0.41,0.52,0.3
Bruno Silva,13.0,5.0,162.56,56.7,165.1,Orthodox,34.0,3.05,0.46,3.09,0.59,2.57,0.3,0.64,0.3
Jon Jones,27.0,1.0,193.04,112.49,213.36,Orthodox,36.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5
Valentina Shevchenko,23.0,4.0,165.1,56.7,167.64,Southpaw,36.0,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4
Alexa Grasso,16.0,3.0,165.1,56.7,167.64,Orthodox,30.0,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6
Trevin Jones,13.0,10.0,170.18,61.23,177.8,Southpaw,33.0,2.13,0.37,4.29,0.39,0.62,0.15,0.6,0.2
Derek Brunson,23.0,9.0,185.42,83.91,195.58,Southpaw,40.0,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6
Julian Marquez,9.0,4.0,187.96,83.91,182.88,Orthodox,33.0,4.86,0.44,4.99,0.51,0.0,0.0,0.53,2.6
Mana Martinez,10.0,4.0,177.8,61.23,177.8,Orthodox,28.0,4.33,0.48,4.94,0.5,0.72,0.42,0.25,0.5
Jessica Penne,14.0,8.0,165.1,52.16,170.18,Orthodox,41.0,2.52,0.31,4.75,0.46,1.32,0.21,0.36,0.6
Augusto Sakai,16.0,5.0,190.5,120.2,195.58,Orthodox,32.0,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0
Erick Gonzalez,14.0,8.0,180.34,70.31,190.5,Orthodox,32.0,2.4,0.36,8.08,0.4,6.0,0.55,0.5,0.0
Victor Martinez,13.0,5.0,172.72,70.31,177.8,Orthodox,32.0,8.65,0.5,7.45,0.54,0.86,0.5,0.8,0.0
Rafael Alves,20.0,12.0,172.72,70.31,172.72,Orthodox,33.0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5
Nurullo Aliev,9.0,0.0,177.8,70.31,182.88,Orthodox,23.0,2.5,0.51,0.46,0.59,3.06,0.44,0.0,0.0
Jordan Wright,12.0,5.0,187.96,92.99,195.58,Orthodox,32.0,4.1,0.56,6.03,0.31,2.09,0.45,1.0,0.4
William Knight,11.0,5.0,177.8,92.99,185.42,Orthodox,35.0,2.62,0.56,3.3,0.35,1.78,0.4,0.48,0.4
Lina Lansberg,10.0,8.0,170.18,61.23,165.1,Orthodox,42.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1
Khusein Askhabov,23.0,1.0,172.72,65.77,175.26,Orthodox,29.0,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0
Clayton Carpenter,7.0,0.0,167.64,56.7,167.64,Orthodox,27.0,4.5,0.51,2.85,0.6,2.47,0.5,0.0,2.5
Juancamilo Ronderos,4.0,2.0,160.02,56.7,162.56,Southpaw,29.0,2.18,0.3,2.18,0.63,2.72,0.33,0.0,0.0
Don Shainis,12.0,5.0,167.64,65.77,170.18,Orthodox,33.0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9
Zubaira Tukhugov,20.0,6.0,172.72,70.31,172.72,Orthodox,33.0,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0
Yizha,25.0,4.0,170.18,65.77,180.34,Orthodox,27.0,2.82,0.44,2.2,0.54,4.55,0.32,0.59,1.4
SeungGuk Choi,7.0,3.0,167.64,56.7,162.56,Orthodox,27.0,2.69,0.42,2.69,0.65,1.02,0.27,0.74,0.0
Glover Teixeira,33.0,9.0,187.96,92.99,193.04,Orthodox,44.0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9
Jamahal Hill,12.0,1.0,193.04,92.99,200.66,Southpaw,32.0,7.31,0.54,3.35,0.47,0.0,0.0,0.73,0.0
Lauren Murphy,16.0,6.0,165.1,56.7,170.18,Orthodox,40.0,4.05,0.39,5.25,0.55,1.03,0.25,0.69,0.1
Mauricio Rua,27.0,14.0,185.42,92.99,193.04,Orthodox,42.0,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7
Mounir Lazzez,11.0,3.0,185.42,77.11,193.04,Orthodox,36.0,7.49,0.55,5.42,0.53,1.8,0.57,0.71,0.0
Shamil Abdurakhimov,20.0,8.0,190.5,106.59,193.04,Orthodox,42.0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1
Saimon Oliveira,18.0,5.0,162.56,61.23,182.88,Orthodox,32.0,2.82,0.41,3.91,0.48,1.21,0.25,0.35,1.6
Allan Nascimento,20.0,6.0,172.72,56.7,175.26,Orthodox,32.0,3.21,0.61,2.28,0.5,1.55,0.26,0.16,0.9
Dan Argueta,9.0,1.0,170.18,61.23,172.72,Southpaw,30.0,2.35,0.47,1.9,0.52,2.54,0.5,0.6,1.9
Cheyanne Vlismas,7.0,3.0,160.02,52.16,160.02,Switch,28.0,4.93,0.5,2.57,0.64,0.25,0.33,0.66,0.2
Saidyokub Kakhramonov,10.0,3.0,172.72,61.23,175.26,Orthodox,28.0,2.05,0.51,0.88,0.58,6.63,0.48,0.83,1.9
Sergey Morozov,19.0,5.0,167.64,61.23,170.18,Orthodox,34.0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0.0
Darren Till,18.0,5.0,182.88,83.91,187.96,Southpaw,31.0,2.3,0.46,3.31,0.56,0.55,0.46,0.69,0.0
Jay Perrin,10.0,7.0,170.18,61.23,170.18,Switch,30.0,3.71,0.46,3.9,0.44,2.83,0.52,0.58,0.0
Dalcha Lungiambula,11.0,6.0,172.72,83.91,193.04,Orthodox,36.0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0
Steven Koslow,6.0,1.0,170.18,56.7,175.26,Switch,27.0,0.77,0.37,3.73,0.4,5.28,0.55,0.0,1.1
Kyle Daukaus,11.0,4.0,190.5,83.91,193.04,Southpaw,31.0,3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9
Scott Holtzman,14.0,6.0,175.26,70.31,175.26,Orthodox,40.0,4.32,0.47,3.66,0.55,1.88,0.56,0.67,0.2
Marcelo Rojo,16.0,10.0,172.72,65.77,180.34,Orthodox,35.0,4.92,0.39,6.42,0.55,0.46,0.5,0.66,0.0
Vince Morales,11.0,7.0,175.26,61.23,177.8,Orthodox,33.0,4.17,0.37,4.24,0.53,0.14,0.25,0.64,0.0
Ricky Turcios,13.0,3.0,175.26,61.23,180.34,Orthodox,30.0,5.08,0.37,3.7,0.55,1.0,0.25,0.45,0.2
Kevin Natividad,9.0,4.0,167.64,61.23,177.8,Orthodox,30.0,2.68,0.34,4.29,0.47,3.66,0.5,0.83,0.0
Carla Esparza,20.0,7.0,154.94,52.16,160.02,Orthodox,36.0,2.16,0.4,2.69,0.55,3.22,0.35,0.47,0.3
Michael Chandler,23.0,8.0,172.72,70.31,180.34,Orthodox,37.0,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9
Frankie Edgar,23.0,11.0,167.64,61.23,172.72,Orthodox,42.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3
Brad Riddell,10.0,4.0,170.18,70.31,180.34,Orthodox,32.0,4.71,0.53,3.53,0.53,1.77,0.36,0.63,0.0
Dominick Reyes,12.0,4.0,193.04,92.99,195.58,Southpaw,34.0,4.75,0.5,3.77,0.48,0.36,0.28,0.8,0.4
Silvana Gomez Juarez,11.0,5.0,160.02,52.16,165.1,Orthodox,39.0,4.26,0.32,4.04,0.61,0.0,0.0,0.3,0.0
Michael Trizano,11.0,3.0,180.34,65.77,180.34,Orthodox,32.0,3.63,0.53,4.4,0.5,0.36,0.66,0.72,0.5
Julio Arce,18.0,6.0,170.18,65.77,177.8,Southpaw,34.0,4.38,0.36,3.1,0.68,0.49,0.3,0.95,0.4
Nicolae Negumereanu,13.0,2.0,182.88,92.99,198.12,Orthodox,29.0,3.58,0.41,5.56,0.39,1.02,0.28,0.62,0.0
Darrick Minner,26.0,14.0,170.18,65.77,175.26,Orthodox,33.0,2.63,0.65,2.28,0.35,2.4,0.72,0.66,2.7
Shanna Young,9.0,6.0,170.18,56.7,165.1,Orthodox,33.0,3.18,0.47,4.88,0.43,0.0,0.0,0.53,0.6
Benito Lopez,10.0,2.0,177.8,61.23,185.42,Switch,29.0,4.39,0.45,5.18,0.56,0.0,0.0,0.73,0.3
Liudvik Sholinian,9.0,4.0,177.8,61.23,180.34,Orthodox,34.0,2.5,0.3,5.67,0.55,0.0,0.0,0.66,0.0
Carlos Candelario,8.0,3.0,172.72,56.7,172.72,Southpaw,32.0,3.97,0.46,5.17,0.44,2.28,0.36,0.53,0.3
Ramona Pascual,6.0,5.0,170.18,61.23,167.64,Southpaw,35.0,3.87,0.57,8.43,0.46,1.81,0.19,1.0,0.0
Calvin Kattar,23.0,7.0,180.34,65.77,182.88,Orthodox,36.0,5.12,0.39,7.1,0.54,0.42,0.29,0.91,0.1
Jared Vanderaa,12.0,10.0,193.04,120.2,203.2,Orthodox,31.0,4.96,0.44,5.67,0.45,0.18,0.5,0.2,0.0
Tresean Gore,5.0,2.0,182.88,83.91,190.5,Switch,29.0,3.04,0.53,6.13,0.47,3.04,0.71,0.81,1.2
Carlos Mota,8.0,2.0,162.56,56.7,175.26,Orthodox,28.0,0.8,0.41,1.13,0.54,0.0,0.0,0.5,1.0
Joshua Weems,11.0,3.0,172.72,61.23,175.26,Orthodox,29.0,5.25,0.64,3.34,0.61,4.77,0.4,1.0,0.0
TJ Dillashaw,18.0,5.0,167.64,61.23,170.18,Orthodox,38.0,5.09,0.41,3.47,0.62,1.56,0.3,0.77,0.8
Gadzhi Omargadzhiev,13.0,2.0,185.42,77.11,180.34,Switch,31.0,1.8,0.39,2.2,0.39,1.35,0.3,0.6,0.5
Misha Cirkunov,15.0,9.0,190.5,92.99,195.58,Orthodox,37.0,3.86,0.51,3.06,0.57,4.15,0.39,0.76,1.7
Brandon Davis,14.0,10.0,177.8,61.23,182.88,Orthodox,33.0,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1
Nick Maximov,8.0,2.0,182.88,83.91,193.04,Southpaw,26.0,1.93,0.45,2.64,0.46,4.16,0.45,0.35,0.2
Mike Jackson,1.0,2.0,187.96,77.11,187.96,Orthodox,39.0,4.49,0.57,3.73,0.62,0.71,0.33,0.88,0.0
Francisco Trinaldo,28.0,9.0,175.26,77.11,177.8,Southpaw,45.0,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5
Aleksei Oleinik,60.0,17.0,187.96,108.86,203.2,Orthodox,46.0,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9
Jesse Ronson,21.0,12.0,177.8,70.31,177.8,Southpaw,38.0,3.54,0.47,3.39,0.57,0.46,0.28,0.57,0.5
Krzysztof Jotko,24.0,6.0,185.42,83.91,195.58,Southpaw,34.0,2.98,0.42,2.23,0.57,1.33,0.39,0.82,0.1
Randy Costa,6.0,4.0,175.26,61.23,185.42,Switch,29.0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0
Alen Amedovski,8.0,4.0,177.8,83.91,187.96,Orthodox,35.0,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0
Louis Cosce,7.0,2.0,175.26,77.11,180.34,Orthodox,28.0,4.31,0.45,5.35,0.47,1.04,0.2,0.5,0.5
Mariya Agapova,10.0,4.0,167.64,56.7,172.72,Southpaw,26.0,4.67,0.55,3.82,0.52,0.59,0.66,0.47,0.9
Cameron VanCamp,15.0,7.0,187.96,70.31,187.96,Switch,30.0,5.31,0.47,6.41,0.4,0.0,0.0,0.0,0.0
Nate Diaz,22.0,13.0,182.88,77.11,193.04,Southpaw,38.0,4.57,0.45,3.77,0.52,1.05,0.3,0.41,1.3
Li Jingliang,19.0,8.0,182.88,77.11,180.34,Orthodox,36.0,4.46,0.42,3.84,0.57,1.25,0.41,0.6,0.0
Chris Barnett,23.0,8.0,175.26,120.2,190.5,Orthodox,37.0,4.41,0.48,5.87,0.4,0.0,0.0,0.33,0.0
Danyelle Wolf,1.0,1.0,180.34,65.77,177.8,Orthodox,40.0,2.37,0.25,4.57,0.47,0.0,0.0,0.77,0.5
Melissa Martinez,7.0,1.0,157.48,52.16,167.64,Southpaw,26.0,3.0,0.57,2.53,0.45,1.0,0.5,0.0,0.0
Darian Weeks,5.0,3.0,180.34,77.11,182.88,Orthodox,30.0,4.49,0.51,4.56,0.51,2.0,0.3,1.0,0.0
Alessio Di Chirico,13.0,7.0,182.88,83.91,187.96,Orthodox,34.0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0
Michal Figlak,8.0,1.0,177.8,70.31,177.8,Orthodox,27.0,1.87,0.29,4.0,0.44,1.0,0.2,0.57,0.0
Khalid Taha,13.0,5.0,165.1,61.23,175.26,Orthodox,32.0,2.64,0.32,4.12,0.46,0.0,0.0,0.61,0.2
Luke Rockhold,16.0,6.0,190.5,83.91,195.58,Southpaw,39.0,4.1,0.49,2.68,0.53,0.7,0.29,0.65,1.0
Jose Aldo,31.0,8.0,170.18,61.23,177.8,Orthodox,37.0,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1
Wu Yanan,13.0,6.0,172.72,61.23,167.64,Orthodox,27.0,4.23,0.41,4.95,0.49,0.62,0.3,0.63,0.2
Harry Hunsucker,7.0,6.0,187.96,92.99,190.5,Orthodox,35.0,3.54,0.52,6.53,0.42,0.0,0.0,0.0,2.0
Leonardo Santos,18.0,7.0,182.88,70.31,190.5,Orthodox,44.0,2.82,0.46,3.4,0.54,0.88,0.25,0.86,0.2
Francisco Figueiredo,13.0,5.0,167.64,56.7,172.72,Southpaw,34.0,2.04,0.61,2.59,0.61,2.51,0.75,0.76,0.4
Dominick Cruz,24.0,4.0,172.72,61.23,172.72,Orthodox,39.0,3.91,0.33,2.61,0.7,2.82,0.42,0.83,0.1
Nina Nunes,11.0,7.0,165.1,56.7,162.56,Orthodox,38.0,4.39,0.45,3.47,0.55,0.24,0.33,0.73,0.5
Charlie Ontiveros,11.0,9.0,187.96,70.31,187.96,Switch,32.0,1.89,0.41,5.86,0.31,0.0,0.0,0.3,0.0
Jason Witt,19.0,9.0,177.8,77.11,177.8,Orthodox,37.0,2.15,0.44,2.54,0.52,6.9,0.48,1.0,0.9
Thiago Santos,22.0,11.0,187.96,92.99,193.04,Orthodox,40.0,3.72,0.48,2.57,0.53,0.88,0.33,0.65,0.1
Sam Alvey,33.0,18.0,187.96,83.91,190.5,Southpaw,37.0,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1
Miranda Granger,7.0,3.0,170.18,52.16,172.72,Orthodox,31.0,2.79,0.47,2.57,0.57,0.0,0.0,0.33,0.0
Julianna Pena,12.0,5.0,167.64,61.23,175.26,Orthodox,34.0,3.16,0.47,2.3,0.5,1.94,0.55,0.23,0.8
Alexander Gustafsson,18.0,8.0,195.58,92.99,200.66,Orthodox,37.0,4.03,0.4,3.53,0.51,1.53,0.39,0.83,0.4
Mason Jones,11.0,2.0,177.8,70.31,187.96,Orthodox,28.0,5.61,0.44,4.94,0.46,3.16,0.45,0.8,0.0
Damir Hadzovic,14.0,7.0,175.26,70.31,177.8,Orthodox,37.0,3.36,0.48,3.26,0.62,0.78,0.55,0.34,0.2
Charles Rosa,14.0,8.0,175.26,65.77,175.26,Switch,37.0,3.08,0.36,3.86,0.47,1.67,0.35,0.38,1.0
Claudio Silva,14.0,4.0,180.34,77.11,180.34,Southpaw,41.0,2.48,0.42,3.0,0.46,2.85,0.26,0.44,1.1
Shane Burgos,15.0,3.0,180.34,65.77,190.5,Orthodox,33.0,7.4,0.52,6.78,0.56,0.43,0.44,0.91,0.4
Herbert Burns,11.0,4.0,175.26,65.77,185.42,Orthodox,36.0,1.61,0.51,4.74,0.3,3.92,0.75,0.6,3.3
Dwight Grant,11.0,6.0,185.42,83.91,193.04,Switch,39.0,3.29,0.36,2.66,0.6,0.61,1.0,0.66,0.0
Antonina Shevchenko,10.0,4.0,172.72,56.7,170.18,Southpaw,39.0,3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4
Cortney Casey,10.0,10.0,170.18,56.7,170.18,Orthodox,36.0,4.29,0.39,4.0,0.55,0.39,0.31,0.39,0.5
